monthly_rent,billing_day,months_in_property,total_previous_payments,previous_late_payments,previous_unpaid_payments,previous_on_time_payments,average_delay_days,last_payment_delay_days,open_issues_count,high_priority_issues_count,contract_uploaded,is_late
6332,19,2,1,0,0,1,1.26,0,3,2,1,0
5315,1,21,20,6,1,13,5.14,20,4,2,1,1
4985,26,34,33,0,2,31,0.66,0,3,2,0,0
6606,20,27,26,0,0,26,0.67,0,4,0,1,0
3598,1,39,38,1,1,36,8.14,1,5,3,1,1
4981,13,13,12,4,0,8,8.38,10,1,0,1,1
4936,18,35,34,7,2,25,1.37,2,1,1,0,1
4819,13,42,41,5,2,34,9.49,5,3,2,0,1
3535,4,24,23,6,0,17,11.45,9,1,0,1,1
5907,26,5,4,4,0,0,9.27,1,0,0,1,0
6622,2,36,35,0,0,35,0.17,0,0,0,1,0
5493,14,27,26,7,3,16,1.4,11,4,2,1,1
4043,5,18,17,5,2,10,1.47,5,2,1,0,1
4362,23,15,14,3,2,9,3.57,2,1,1,1,0
6488,24,15,14,1,1,12,1.44,9,4,3,1,1
3270,2,42,41,7,2,32,8.05,16,5,1,1,1
4276,24,4,3,0,3,0,1.44,0,2,0,1,0
6074,23,16,15,7,3,5,7.75,8,0,0,1,1
4182,28,27,26,6,3,17,5.96,10,0,0,1,1
4230,4,7,6,2,2,2,9.44,15,5,1,1,1
5569,17,35,34,3,0,31,4.64,8,5,3,1,0
4192,25,36,35,6,3,26,6.42,19,1,1,1,1
4753,17,28,27,0,0,27,1.4,0,4,2,1,0
6009,10,25,24,2,3,19,10.01,0,4,3,1,1
6118,27,35,34,4,0,30,9.72,14,4,2,1,1
5580,26,7,6,6,0,0,7.17,14,5,3,1,1
6973,7,29,28,0,3,25,0.4,0,2,1,1,1
3062,27,39,38,6,3,29,10.77,13,3,2,1,1
5766,16,17,16,5,0,11,2.57,0,0,0,1,1
3864,21,25,24,3,3,18,8.99,13,5,2,1,1
6596,27,33,32,0,2,30,0.69,0,1,1,0,1
5995,17,25,24,5,0,19,7.44,16,2,1,0,1
5768,17,46,45,5,3,37,8.61,16,2,1,1,1
6796,1,34,33,7,1,25,11.95,14,5,1,1,1
6724,14,17,16,4,0,12,1.68,20,1,1,1,0
5892,20,15,14,5,1,8,10.37,18,0,0,0,1
4981,23,19,18,5,0,13,2.08,12,4,0,1,0
3601,5,37,36,7,1,28,9.07,9,4,3,1,1
3088,3,15,14,1,1,12,8.27,3,5,1,0,1
5872,21,17,16,4,2,10,5.32,11,2,2,1,1
6922,26,43,42,2,0,40,8.42,3,0,0,1,0
5583,15,44,43,1,1,41,6.75,0,0,0,0,0
4001,8,3,2,0,1,1,1.1,1,1,1,1,0
4414,4,41,40,0,1,39,1.23,0,0,0,1,0
4092,21,15,14,2,1,11,7.74,14,4,3,1,0
6220,20,13,12,4,3,5,3.75,1,3,2,0,1
3466,13,34,33,3,2,28,9.61,8,2,2,0,1
3439,17,25,24,6,1,17,10.84,9,3,3,0,1
3338,28,22,21,6,1,14,5.24,14,3,3,1,1
3031,8,10,9,1,2,6,6.63,6,5,3,1,1
5435,6,6,5,1,2,2,8.63,15,4,2,1,1
6072,19,35,34,4,0,30,10.35,20,2,0,1,1
6411,16,2,1,0,0,1,0.26,0,2,1,0,1
5374,18,33,32,4,3,25,4.92,14,2,2,1,1
4505,18,34,33,7,0,26,4.06,8,0,0,1,1
4605,5,13,12,3,0,9,6.81,0,3,2,0,0
5698,15,3,2,0,1,1,0.79,0,4,1,1,0
6017,7,44,43,3,0,40,3.59,4,2,2,1,1
4327,20,13,12,7,0,5,2.69,14,4,0,1,1
5963,16,8,7,2,2,3,3.68,7,2,1,1,1
5471,13,30,29,3,0,26,5.14,1,1,1,1,1
4619,3,17,16,5,1,10,1.07,16,4,1,0,1
5139,27,29,28,3,0,25,5.96,11,4,3,0,1
5968,26,6,5,1,2,2,6.4,17,5,1,0,1
3513,13,29,28,4,1,23,9.15,13,1,1,1,0
6785,28,40,39,5,3,31,6.39,6,2,1,1,1
6953,10,1,0,0,0,0,0.13,1,5,1,1,0
5264,11,31,30,2,0,28,9.29,1,2,1,0,1
3247,12,45,44,5,0,39,1.25,15,1,0,1,1
3183,15,6,5,4,1,0,2.63,11,5,2,1,1
5406,17,17,16,3,1,12,10.08,10,1,0,0,0
5121,11,18,17,0,0,17,1.16,1,3,3,0,0
5871,5,29,28,1,3,24,4.67,13,0,0,1,0
6908,24,9,8,1,3,4,8.59,14,2,0,0,1
4475,22,19,18,6,0,12,7.71,13,3,1,1,1
6965,20,14,13,1,1,11,1.39,13,5,0,0,0
3002,23,9,8,2,3,3,11.13,14,2,1,0,1
6886,17,8,7,6,1,0,11.61,4,0,0,1,1
5866,19,29,28,3,3,22,4.8,12,2,2,1,0
5313,15,14,13,4,0,9,3.86,18,2,1,1,1
4957,14,45,44,5,3,36,3.38,14,5,1,1,1
4500,23,12,11,7,0,4,3.4,9,5,2,1,1
3264,19,40,39,6,0,33,3.84,7,5,1,1,1
3574,21,25,24,6,2,16,1.88,13,4,3,1,1
6218,14,21,20,1,1,18,3.14,9,3,0,1,0
4267,8,19,18,0,3,15,0.46,0,2,2,1,1
5553,28,3,2,0,2,0,1.1,0,0,0,1,0
5581,2,25,24,5,3,16,4.42,7,0,0,0,1
3497,12,48,47,5,3,39,11.92,4,5,2,0,1
4659,8,9,8,0,3,5,0.72,0,3,1,1,0
5381,6,38,37,0,2,35,1.01,1,1,1,0,0
5878,6,17,16,6,3,7,2.08,5,2,0,1,1
4803,20,9,8,0,3,5,1.17,0,5,2,1,0
3115,14,14,13,3,0,10,3.46,4,5,2,1,0
5056,17,28,27,4,2,21,8.74,7,4,1,1,0
5811,10,33,32,4,2,26,2.25,20,5,3,1,1
3660,13,18,17,3,3,11,5.1,9,2,1,1,1
6881,21,35,34,5,1,28,8.93,14,0,0,1,1
3368,20,4,3,1,0,2,1.53,1,0,0,0,0
5427,12,47,46,4,1,41,9.85,19,5,3,1,1
5263,16,7,6,5,0,1,9.65,15,1,0,1,1
6195,11,22,21,3,3,15,7.66,13,0,0,1,1
5988,24,10,9,2,2,5,1.43,4,4,1,1,1
5578,28,24,23,3,2,18,5.27,11,3,1,0,1
5617,17,24,23,6,1,16,9.66,15,1,0,0,1
6313,27,16,15,6,3,6,2.64,11,4,2,1,1
3232,22,17,16,1,0,15,11.42,18,0,0,1,0
6782,6,28,27,2,3,22,3.86,4,3,2,1,1
4427,2,43,42,6,3,33,4.3,11,3,1,0,1
4496,9,32,31,0,0,31,0.99,1,4,0,1,0
3849,24,6,5,4,0,1,10.77,16,4,3,1,1
5326,13,5,4,1,2,1,6.82,3,0,0,1,1
6552,16,18,17,5,0,12,9.51,16,4,2,0,1
6513,6,40,39,7,1,31,1.93,8,1,0,1,0
5398,3,36,35,4,0,31,8.92,8,4,3,0,0
3745,2,21,20,2,1,17,6.62,19,2,0,1,0
3737,25,18,17,7,3,7,2.63,15,4,2,1,1
3250,11,7,6,2,3,1,2.08,6,2,1,1,0
5162,13,42,41,6,1,34,4.48,5,5,2,0,1
4474,10,39,38,2,1,35,1.72,1,0,0,1,0
3998,18,24,23,3,1,19,1.5,5,0,0,1,1
4502,16,26,25,5,3,17,4.05,9,2,0,0,1
4420,18,44,43,6,1,36,6.46,4,4,0,1,1
4528,17,47,46,1,3,42,4.4,6,5,0,0,0
4294,26,8,7,6,1,0,2.16,5,0,0,1,1
4366,11,22,21,2,1,18,8.93,5,1,1,0,0
3980,22,46,45,2,2,41,9.25,5,1,0,1,1
3943,16,1,0,0,0,0,0.13,0,5,0,1,0
6762,7,48,47,6,0,41,8.33,7,4,1,1,1
5812,7,9,8,2,0,6,7.23,11,0,0,0,1
5396,25,8,7,1,3,3,9.3,4,1,0,1,1
5178,9,34,33,7,1,25,1.4,9,4,3,1,1
3133,11,42,41,7,0,34,6.76,13,4,3,1,1
4780,9,23,22,2,0,20,3.63,2,4,3,1,0
3333,12,18,17,3,1,13,3.93,8,2,2,1,1
5791,19,3,2,2,0,0,11.85,4,5,0,1,1
5164,2,21,20,3,3,14,11.98,8,2,2,0,1
4236,8,48,47,0,3,44,0.27,0,5,3,1,1
5517,10,14,13,6,0,7,11.61,1,5,0,1,1
4361,10,48,47,2,3,42,9.06,1,3,3,0,1
4930,1,40,39,7,1,31,1.77,3,0,0,1,1
3346,23,1,0,0,0,0,1.35,0,2,0,1,0
3116,16,36,35,5,3,27,10.29,4,1,0,1,1
5454,16,25,24,3,2,19,2.95,1,1,0,1,1
6018,4,34,33,4,0,29,2.97,8,2,1,1,1
6902,16,44,43,7,2,34,10.53,1,0,0,0,1
4324,10,42,41,1,2,38,6.69,19,1,0,1,0
3012,15,2,1,1,0,0,5.8,9,2,2,1,1
4650,20,41,40,4,0,36,3.41,12,3,0,1,0
3447,1,40,39,2,1,36,7.87,18,3,1,0,1
5809,10,1,0,0,0,0,0.09,0,2,0,1,0
4338,19,28,27,1,0,26,10.33,5,5,3,1,0
4393,1,27,26,3,1,22,3.07,18,0,0,1,1
5786,5,28,27,3,1,23,8.39,3,2,1,0,0
4157,4,26,25,2,3,20,8.78,5,5,3,0,1
4822,6,31,30,6,3,21,2.62,10,0,0,0,1
6660,17,8,7,3,0,4,10.25,15,2,0,0,1
4408,19,1,0,0,0,0,1.04,0,4,3,0,0
4747,8,34,33,4,2,27,7.9,10,3,3,1,1
4661,22,29,28,2,3,23,1.94,13,5,1,1,1
5383,2,26,25,0,1,24,1.2,1,3,2,1,0
6889,16,12,11,4,0,7,9.84,1,2,1,1,0
4686,10,9,8,6,1,1,1.86,18,2,0,1,1
4038,15,41,40,6,3,31,11.13,15,5,1,1,1
4490,6,27,26,2,2,22,8.71,6,3,2,1,0
5007,18,27,26,6,3,17,11.89,9,2,2,1,1
4333,22,11,10,6,3,1,7.12,10,0,0,1,1
6522,14,45,44,4,2,38,2.14,17,3,1,1,0
5447,11,25,24,0,0,24,0.86,1,0,0,1,0
5026,15,2,1,1,0,0,11.24,5,4,3,1,1
3041,22,45,44,6,2,36,5.61,3,3,2,1,0
4377,10,2,1,1,0,0,2.72,3,2,0,1,0
4747,11,38,37,1,1,35,2.26,7,3,1,0,0
3217,15,38,37,3,0,34,1.7,4,0,0,1,1
6142,7,3,2,2,0,0,4.3,20,1,0,0,1
3388,24,25,24,1,0,23,4.89,12,0,0,1,0
3239,5,22,21,2,0,19,10.41,11,5,2,1,1
4429,18,34,33,3,2,28,8.15,14,1,1,0,1
5712,6,33,32,3,2,27,4.72,17,2,0,1,1
5248,8,18,17,6,1,10,7.34,7,5,2,1,1
5143,26,43,42,6,3,33,8.0,12,1,1,1,1
5673,23,47,46,3,1,42,8.91,6,4,1,1,0
6433,22,3,2,1,1,0,11.32,4,2,0,0,1
3691,22,15,14,2,3,9,3.37,5,3,2,0,1
4472,2,25,24,1,3,20,9.2,8,2,1,0,0
6736,15,17,16,3,2,11,1.08,11,0,0,1,1
3130,14,15,14,6,2,6,1.82,11,0,0,1,1
4296,24,31,30,1,1,28,11.53,9,1,0,1,1
3690,7,5,4,0,2,2,0.18,1,4,3,1,0
5928,16,7,6,5,1,0,2.94,2,1,0,0,0
5666,7,46,45,4,0,41,3.57,9,1,1,1,1
4053,14,4,3,3,0,0,6.24,3,5,0,1,1
6639,7,14,13,7,1,5,11.51,16,0,0,1,1
4294,18,29,28,1,0,27,2.91,20,0,0,0,0
5949,10,29,28,4,1,23,1.72,0,4,1,1,0
6529,27,47,46,1,2,43,1.85,13,1,1,1,0
6768,7,40,39,1,3,35,7.85,7,4,1,1,1
4365,5,26,25,7,3,15,9.27,10,3,1,0,1
5018,21,46,45,5,3,37,3.19,20,0,0,1,1
5736,23,30,29,7,0,22,5.74,12,1,1,1,1
6802,17,39,38,7,3,28,6.08,19,4,2,1,1
6480,6,31,30,0,3,27,0.13,0,2,2,1,0
5056,28,2,1,0,1,0,0.76,0,2,1,0,1
6408,2,41,40,6,3,31,3.78,16,0,0,0,1
5741,16,44,43,5,2,36,10.54,19,0,0,1,1
6910,2,42,41,6,2,33,9.83,3,2,2,1,1
4457,27,46,45,6,1,38,10.61,20,1,0,1,1
6397,27,17,16,7,3,6,7.42,14,2,1,1,1
5743,21,42,41,2,3,36,9.7,12,3,2,1,1
3022,9,1,0,0,0,0,0.76,0,4,1,1,0
3629,10,35,34,0,1,33,1.02,0,3,2,0,0
5405,2,21,20,3,2,15,4.91,11,1,0,1,0
3833,1,45,44,7,3,34,6.0,5,4,3,1,1
6878,9,47,46,4,1,41,8.6,5,4,3,1,1
6988,18,28,27,1,1,25,5.83,3,3,3,1,0
3865,16,32,31,4,3,24,10.51,1,5,1,1,1
4588,5,12,11,5,1,5,7.78,10,1,0,1,1
3178,22,13,12,3,2,7,2.09,19,0,0,1,0
3228,11,8,7,7,0,0,5.45,16,3,2,1,1
6823,26,39,38,0,1,37,0.59,1,4,1,1,0
6629,4,36,35,1,0,34,11.41,8,0,0,0,0
4932,12,15,14,6,0,8,11.7,17,5,0,1,1
4116,24,8,7,1,2,4,4.44,0,2,0,1,1
4643,1,6,5,0,3,2,1.19,0,2,0,1,0
5230,23,21,20,0,0,20,0.96,0,5,0,1,0
4409,11,14,13,4,0,9,3.16,6,2,1,1,0
5253,21,20,19,6,3,10,3.07,7,2,0,1,1
3181,26,3,2,0,2,0,1.18,0,0,0,1,0
4536,5,11,10,0,1,9,1.14,1,0,0,1,0
3497,28,24,23,6,0,17,2.39,3,0,0,1,0
5885,27,22,21,3,2,16,4.13,0,4,0,1,1
6781,7,7,6,5,0,1,11.6,14,5,1,1,1
3894,10,47,46,4,2,40,5.03,8,3,0,1,0
5275,23,30,29,7,3,19,6.52,11,5,3,1,1
4980,3,24,23,4,0,19,4.26,4,2,0,1,0
3794,23,36,35,0,2,33,0.87,0,3,3,1,0
3606,14,31,30,1,2,27,5.76,17,5,2,0,1
4403,21,7,6,1,2,3,6.59,3,0,0,1,0
5559,26,31,30,0,1,29,1.11,0,1,0,1,0
3493,1,25,24,6,3,15,7.65,9,1,0,0,1
4844,2,36,35,6,2,27,11.18,13,4,3,0,1
3385,13,15,14,7,2,5,1.73,18,1,1,1,1
6367,9,35,34,7,1,26,2.94,6,0,0,1,0
3309,4,15,14,6,0,8,5.03,20,0,0,0,0
6252,5,19,18,2,3,13,9.64,9,1,1,1,1
3008,16,46,45,6,0,39,6.61,0,0,0,1,0
3765,16,30,29,1,3,25,1.69,16,0,0,1,1
5530,18,25,24,2,3,19,7.24,10,4,2,1,1
6315,21,7,6,3,1,2,9.41,1,0,0,1,1
5559,8,46,45,2,3,40,11.66,5,1,1,1,0
5734,21,2,1,1,0,0,2.82,8,5,2,0,1
6666,16,29,28,1,0,27,10.09,20,5,1,1,1
4229,19,37,36,6,2,28,9.65,7,4,0,0,1
3886,9,35,34,2,3,29,5.91,6,1,0,1,0
6821,1,14,13,6,2,5,11.27,1,0,0,0,1
3590,24,2,1,1,0,0,6.73,8,3,2,1,1
6823,9,21,20,6,2,12,8.98,13,5,0,1,1
3912,11,20,19,1,2,16,11.39,2,4,0,1,0
5544,17,47,46,1,1,44,5.37,10,1,1,1,0
3620,24,2,1,0,0,1,0.16,0,2,2,1,0
6675,16,27,26,2,3,21,7.82,18,0,0,1,1
4018,21,4,3,1,1,1,5.53,20,3,3,1,1
4926,1,32,31,4,2,25,11.58,3,3,2,1,1
3177,5,21,20,3,0,17,3.52,10,1,1,1,1
5495,14,11,10,1,2,7,2.28,11,5,2,0,1
5658,7,3,2,1,1,0,8.28,14,2,0,0,0
3597,17,19,18,2,1,15,11.94,17,3,3,1,1
5892,1,42,41,3,0,38,11.16,3,2,0,1,0
5718,1,44,43,2,0,41,4.14,20,0,0,1,1
5771,17,33,32,4,1,27,6.79,6,4,1,0,1
5717,27,26,25,0,3,22,1.21,0,1,0,1,1
6572,1,19,18,5,1,12,3.72,19,3,1,1,1
4945,5,34,33,0,0,33,0.12,0,1,1,1,0
5924,16,44,43,7,1,35,10.39,19,4,3,1,1
5874,6,21,20,7,1,12,8.48,14,5,2,1,1
4283,25,31,30,1,3,26,9.27,7,0,0,0,1
6049,14,17,16,2,1,13,5.86,20,5,0,1,1
3089,23,9,8,6,1,1,3.02,18,4,0,1,1
6907,13,48,47,1,0,46,3.24,12,0,0,1,0
4970,22,32,31,2,3,26,5.62,9,3,3,1,1
4700,20,35,34,1,1,32,10.86,7,1,1,1,0
5798,13,45,44,7,3,34,5.13,20,4,2,0,1
4619,7,43,42,3,2,37,4.17,2,3,2,0,1
6010,25,13,12,1,2,9,4.42,3,3,2,0,1
3290,10,37,36,7,3,26,6.87,11,5,0,1,1
3391,5,16,15,6,2,7,3.82,3,2,0,1,1
5650,4,34,33,3,1,29,1.95,8,4,2,1,0
5525,6,30,29,4,0,25,1.3,18,2,2,1,1
6728,16,20,19,1,3,15,4.44,0,1,1,0,1
5253,13,23,22,6,1,15,6.09,1,4,3,0,1
4826,1,17,16,0,1,15,0.63,1,1,0,1,0
4446,21,37,36,6,2,28,1.16,9,3,0,1,1
4994,26,9,8,5,1,2,2.61,16,1,1,1,1
5207,5,26,25,0,2,23,0.5,0,5,2,0,1
3474,15,44,43,2,0,41,7.1,18,2,1,1,1
5357,17,21,20,4,1,15,7.38,6,3,3,1,1
6121,12,15,14,7,3,4,2.06,4,0,0,1,1
6542,24,34,33,4,1,28,4.51,14,0,0,0,1
4089,9,34,33,4,0,29,4.82,12,3,1,1,0
6144,14,15,14,6,2,6,8.94,2,5,0,1,1
5187,27,17,16,3,1,12,2.0,12,3,2,1,0
6976,1,42,41,3,1,37,6.29,3,4,0,0,0
6705,27,17,16,7,0,9,6.9,15,1,1,1,1
6042,17,12,11,5,2,4,10.21,4,0,0,0,1
4036,26,29,28,4,3,21,10.94,16,3,1,0,1
6629,28,40,39,0,3,36,1.19,1,1,1,1,0
6389,11,31,30,2,3,25,3.81,5,5,0,1,0
6055,1,7,6,0,3,3,0.68,1,0,0,0,1
5239,18,22,21,3,3,15,6.73,14,1,0,1,1
3662,28,7,6,6,0,0,7.19,20,5,0,1,1
6070,10,24,23,4,0,19,10.47,7,3,0,1,1
3295,17,20,19,4,1,14,2.49,2,3,3,0,0
6150,21,22,21,3,0,18,5.23,5,2,1,0,0
5716,18,1,0,0,0,0,0.16,0,2,0,1,0
4105,14,31,30,7,2,21,7.27,14,4,3,0,1
3130,19,21,20,2,3,15,8.13,18,1,1,1,1
4173,6,28,27,7,2,18,4.07,0,2,2,0,1
5934,17,41,40,0,3,37,0.66,0,4,2,1,1
3005,27,15,14,7,3,4,10.31,12,3,2,1,1
3006,7,5,4,3,1,0,7.11,5,1,0,1,1
6463,3,46,45,5,1,39,10.9,6,1,1,1,1
5652,6,8,7,2,0,5,8.59,13,5,1,1,1
6869,18,20,19,3,2,14,2.89,19,5,3,0,1
3240,7,25,24,5,1,18,8.59,1,3,2,1,1
4550,25,17,16,4,1,11,7.91,6,1,1,1,1
6571,25,20,19,1,0,18,4.23,7,5,2,1,0
6889,12,27,26,1,1,24,7.04,3,3,3,1,0
3251,14,11,10,5,2,3,2.98,14,3,0,1,1
5375,20,29,28,4,1,23,11.75,14,1,1,0,1
5443,10,19,18,1,0,17,2.98,14,3,2,1,1
4508,19,48,47,5,2,40,9.9,16,3,0,0,1
4218,14,43,42,5,3,34,5.77,20,1,1,1,1
3474,25,34,33,0,0,33,0.7,0,0,0,0,0
3010,9,13,12,7,1,4,7.19,16,4,1,1,1
3926,5,30,29,2,1,26,8.38,10,4,3,0,1
5251,18,35,34,5,3,26,10.37,12,5,2,1,1
4363,19,43,42,7,1,34,9.19,15,2,1,1,1
6927,4,38,37,6,1,30,9.62,10,3,0,1,1
3910,8,11,10,2,1,7,8.5,14,1,1,1,1
3638,18,10,9,7,0,2,9.97,19,0,0,1,1
6816,3,28,27,0,2,25,0.28,1,5,1,1,0
6698,24,45,44,5,2,37,9.33,2,0,0,1,1
3517,12,27,26,5,2,19,2.82,1,2,1,0,1
6787,15,19,18,6,0,12,1.74,1,0,0,0,1
6990,3,3,2,2,0,0,5.02,14,1,0,1,1
3738,12,14,13,2,1,10,4.04,12,4,1,1,1
4155,3,43,42,5,2,35,1.68,18,5,3,0,1
4670,10,21,20,5,1,14,6.36,13,3,0,1,1
4730,2,11,10,3,2,5,11.22,2,2,1,1,1
4819,4,41,40,7,1,32,9.88,10,1,1,1,1
4974,10,30,29,0,2,27,1.03,0,0,0,1,0
6791,7,16,15,0,0,15,0.28,0,5,0,1,0
4182,26,29,28,1,1,26,2.77,11,0,0,1,0
5262,9,45,44,1,2,41,11.53,3,2,2,1,0
4828,22,3,2,0,1,1,0.61,0,3,2,1,0
6986,17,31,30,3,2,25,8.96,3,4,3,1,1
3847,28,29,28,5,2,21,8.01,17,0,0,1,1
3564,6,40,39,3,2,34,11.18,4,2,2,0,1
6858,26,1,0,0,0,0,1.42,0,2,0,1,0
4081,13,21,20,5,1,14,1.54,12,3,1,0,1
5110,1,2,1,0,0,1,0.98,0,4,3,1,0
5400,14,32,31,7,3,21,11.76,5,1,1,1,1
6257,7,22,21,7,1,13,1.47,12,2,0,1,0
6192,16,46,45,7,0,38,4.55,8,2,1,1,1
3134,14,34,33,2,0,31,11.53,12,2,0,1,0
5051,4,19,18,0,3,15,1.41,0,4,1,0,0
6647,27,23,22,6,3,13,7.54,15,0,0,0,1
5826,27,23,22,0,1,21,0.85,0,4,2,1,0
5823,2,33,32,1,0,31,11.52,2,0,0,1,0
3711,14,46,45,0,1,44,0.22,0,3,0,1,0
3960,13,6,5,4,1,0,9.16,12,5,1,1,1
5056,18,41,40,2,1,37,7.76,1,0,0,1,0
5399,26,16,15,5,0,10,4.99,20,5,0,1,1
4535,14,35,34,5,0,29,6.87,1,5,1,1,0
4571,24,4,3,0,0,3,0.17,0,0,0,1,1
6527,15,39,38,7,1,30,7.11,11,2,2,0,1
5821,1,4,3,2,1,0,5.89,10,0,0,0,1
4763,1,39,38,6,3,29,7.15,19,1,1,1,1
3854,20,19,18,4,3,11,11.66,17,5,2,0,1
4595,11,33,32,4,2,26,5.69,1,1,1,1,1
4081,23,27,26,3,1,22,9.15,15,0,0,1,1
6960,20,6,5,0,0,5,1.01,1,4,3,1,0
3069,1,5,4,2,0,2,2.7,0,1,0,1,0
6780,26,27,26,6,2,18,2.94,16,1,0,1,0
4456,5,20,19,7,2,10,2.38,11,4,2,0,0
6727,23,25,24,4,3,17,6.61,14,2,0,1,1
3889,4,7,6,2,0,4,8.79,16,5,2,0,1
3975,16,26,25,6,3,16,10.6,15,5,1,1,1
4534,17,43,42,3,3,36,7.09,4,1,0,1,1
3042,28,15,14,7,2,5,8.32,18,1,1,1,1
5297,8,29,28,1,2,25,5.25,13,4,2,1,0
5195,16,7,6,6,0,0,3.37,6,0,0,1,1
6428,10,31,30,3,0,27,5.22,6,4,1,1,1
3556,12,27,26,7,0,19,10.83,14,4,3,0,1
4226,26,30,29,6,2,21,8.79,18,3,3,0,1
6430,17,20,19,6,0,13,11.1,0,4,0,0,1
4058,19,32,31,1,1,29,2.15,17,2,0,1,1
